run_type,input_file,input_size,CLI_Flags,hashing_method,mod_value,bucket_size,strategy,c1,c2,collisions,primary_collisions,secondary_collisions,comparisons,insertions,load_factor,execution_time_sec,memory_usage_bytes,input_type
manual_div127_quadratic_c05_025_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.25,division,127.0,1,quadratic,0.5,0.25,22.0,10.0,12.0,82.0,60.0,0.5,0.0002349,0,normal
manual_div127_quadratic_c10_05_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.5,division,127.0,1,quadratic,1.0,0.5,25.0,12.0,13.0,85.0,60.0,0.5,0.000283,0,normal
manual_div127_quadratic_c10_075_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.75,division,127.0,1,quadratic,1.0,0.75,18.0,11.0,7.0,78.0,60.0,0.5,0.0002709,0,normal
manual_div127_quadratic_c10_025_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.25,division,127.0,1,quadratic,1.0,0.25,19.0,11.0,8.0,79.0,60.0,0.5,0.0002381,0,normal
manual_div127_quadratic_c15_05_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.5,division,127.0,1,quadratic,1.5,0.5,15.0,10.0,5.0,75.0,60.0,0.5,0.0005547,0,normal
manual_div127_quadratic_c15_075_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.75,division,127.0,1,quadratic,1.5,0.75,14.0,10.0,4.0,74.0,60.0,0.5,0.0002854,0,normal
manual_div127_quadratic_c15_025_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.25,division,127.0,1,quadratic,1.5,0.25,19.0,10.0,9.0,79.0,60.0,0.5,0.00095,0,normal
manual_div127_linear_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy linear,division,127.0,3,linear,,,16.0,10.0,6.0,76.0,60.0,0.5,0.0002383,0,normal
manual_div127_quadratic_c05_05_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5,division,127.0,3,quadratic,0.5,0.5,20.0,10.0,10.0,80.0,60.0,0.5,0.00026,0,normal
manual_div127_quadratic_c05_075_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.75,division,127.0,3,quadratic,0.5,0.75,17.0,10.0,7.0,77.0,60.0,0.5,0.0002718,0,normal
manual_div127_quadratic_c05_025_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.25,division,127.0,3,quadratic,0.5,0.25,22.0,10.0,12.0,82.0,60.0,0.5,0.0003173,0,normal
manual_div127_quadratic_c10_05_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.5,division,127.0,3,quadratic,1.0,0.5,25.0,12.0,13.0,85.0,60.0,0.5,0.0005138,0,normal
manual_div127_quadratic_c10_075_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.75,division,127.0,3,quadratic,1.0,0.75,18.0,11.0,7.0,78.0,60.0,0.5,0.0002294,0,normal
manual_div127_quadratic_c10_025_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.25,division,127.0,3,quadratic,1.0,0.25,19.0,11.0,8.0,79.0,60.0,0.5,0.0001922,0,normal
